,Age,identity_attack
384,21,8.734259608900174e-05
386,21,0.0011839652433991
388,21,6.269453297136351e-05
389,20,9.81312114163302e-05
392,21,0.0047634504735469
398,20,0.0003825764870271
400,23,0.0094941267743706
413,69,7.435536826960742e-05
416,23,0.0002084960724459
417,21,0.0002331680880161
418,21,0.0001804117055144
419,21,0.0298330504447221
420,21,7.345497579080984e-05
422,30,7.170084427343681e-05
426,24,0.0004403308266773
427,69,0.0002915462246164
428,20,8.121493010548875e-05
429,53,0.0001729543873807
432,58,9.732993930811062e-05
434,54,6.25258035142906e-05
437,13,0.0012942373286932
440,26,0.000366202177247
441,50,0.2812280356884002
443,22,0.0005274708964861
444,55,0.0005629934603348
468,31,0.0004611359618138
476,26,0.000119336793432
478,29,8.68741117301397e-05
479,40,0.000809580029454
481,33,8.11776117188856e-05
482,33,7.42776901461184e-05
483,33,6.355921505019069e-05
484,33,8.590696234023198e-05
485,25,0.0001699785352684
488,30,8.53092351462692e-05
489,30,7.424440991599113e-05
491,30,0.0002348387351958
492,30,0.0001973226899281
495,30,0.0001340438320767
496,30,6.483151810243726e-05
497,30,0.0001307937491219
500,24,0.0041666678152978
502,26,7.305239705601707e-05
506,21,8.936168887885287e-05
507,24,6.805169687140733e-05
508,22,0.0033333848696202
509,23,0.0001597386581124
511,22,7.371256651822478e-05
527,22,0.0008059438550844
529,20,0.0001089748184313
530,30,0.0001538144570076
532,30,0.0073789181187748
535,30,0.000236641819356
536,30,0.0002385728730587
537,45,9.829351620282978e-05
538,23,0.0002546533942222
539,45,8.568556950194761e-05
540,69,0.0001495579199399
541,24,9.81434786808677e-05
545,20,6.812409992562607e-05
547,20,0.0001694238453637
548,21,9.273036994272844e-05
549,40,5.49248252355028e-05
550,20,0.0003394388186279
551,45,0.0005399979418143
553,20,0.0002714621659833
554,45,0.0001104989059967
557,33,8.472373883705586e-05
558,63,9.565386426402256e-05
559,30,0.0015678774798288
560,40,0.0001251687499461
561,30,0.0003191214345861
562,30,0.0003257682838011
563,30,0.0007314402610063
564,30,0.0002665523206815
565,30,0.0008388985879719
566,69,6.731873145326972e-05
567,30,0.0001556281786179
569,21,5.91460193390958e-05
570,21,7.03435653122142e-05
571,21,6.0536702221725136e-05
572,30,0.000362742197467
573,21,0.0002897494996432
574,21,0.0003642936935648
575,43,0.0001051398285198
576,30,0.0018917296547442
577,30,0.0049407952465116
579,30,0.0001835954026319
580,34,7.961513620102778e-05
581,61,9.381252311868592e-05
583,20,0.0001063964009517
584,30,0.0023040091618895
586,30,0.0001599328097654
589,32,0.000536814390216
590,36,0.0013742218725383
591,32,0.0009843601146712
593,36,7.342380558839068e-05
596,40,0.0030589115340262
597,36,7.238634134409949e-05
599,36,0.000112533198262
600,36,9.143826173385604e-05
602,32,0.0011077483650296
604,32,0.0008764863596297
605,36,9.521868196316063e-05
606,32,0.000189480066183
607,20,0.002088536741212
608,21,6.743823905708268e-05
609,32,0.0001011515341815
610,24,0.0001286330807488
612,22,7.21093820175156e-05
613,22,7.21093820175156e-05
614,45,0.0001288019702769
620,45,0.0001053353043971
623,33,0.0001125857961596
626,26,8.68114220793359e-05
627,63,7.619353709742427e-05
628,42,6.505160854430869e-05
629,23,8.91938034328632e-05
631,40,6.637175829382613e-05
633,40,0.0007187280571088
634,24,8.595711551606655e-05
636,45,8.394446922466159e-05
637,40,0.0003205160901416
641,23,0.0009036262636072
642,30,0.0001236076059285
644,30,0.0001473936717957
646,30,7.726427429588512e-05
649,32,0.0003049634397029
650,54,6.634948658756912e-05
652,32,8.580012945458293e-05
654,46,8.999287820188329e-05
655,32,0.000165977369761
662,12,0.0002067886816803
664,32,0.0001775938435457
665,21,0.0011217501014471
666,32,0.0001216762830154
667,23,0.0005357432528398
668,32,0.0001496015611337
